Date,Price,Open,High,Low,Vol.,Change %
13-Dec-19,"1,307.58","1,303.19","1,317.44","1,303.19",-,0.80%
12-Dec-19,"1,297.19","1,292.48","1,303.12","1,289.05",-,0.33%
11-Dec-19,"1,292.94","1,288.69","1,294.19","1,286.25",-,0.29%
10-Dec-19,"1,289.25","1,291.02","1,291.02","1,275.99",-,-0.15%
9-Dec-19,"1,291.17","1,295.65","1,295.65","1,290.85",-,-0.27%
6-Dec-19,"1,294.67","1,278.06","1,295.04","1,278.06",-,1.27%
5-Dec-19,"1,278.43","1,283.56","1,288.61","1,278.27",-,-0.32%
4-Dec-19,"1,282.48","1,268.78","1,282.85","1,268.39",-,1.13%
3-Dec-19,"1,268.21","1,278.26","1,282.38","1,264.60",-,-0.70%
2-Dec-19,"1,277.15","1,298.10","1,307.29","1,275.68",-,-1.63%
29-Nov-19,"1,298.32","1,302.93","1,304.99","1,296.91",-,-0.35%
28-Nov-19,"1,302.89","1,304.75","1,304.75","1,299.89",-,-0.12%
27-Nov-19,"1,304.47","1,300.21","1,306.81","1,300.21",-,0.36%
26-Nov-19,"1,299.83","1,301.04","1,302.36","1,298.03",-,-0.16%
25-Nov-19,"1,301.96","1,290.61","1,302.60","1,290.61",-,0.95%
22-Nov-19,"1,289.65","1,284.76","1,295.20","1,284.76",-,0.37%
21-Nov-19,"1,284.85","1,288.33","1,288.33","1,277.44",-,-0.23%
20-Nov-19,"1,287.87","1,293.37","1,293.37","1,282.79",-,-0.46%
19-Nov-19,"1,293.77","1,294.88","1,305.58","1,291.49",-,-0.10%
18-Nov-19,"1,295.09","1,296.06","1,298.77","1,291.01",-,-0.03%
15-Nov-19,"1,295.46","1,290.89","1,298.53","1,288.67",-,0.31%
14-Nov-19,"1,291.41","1,296.33","1,297.97","1,291.27",-,-0.41%
13-Nov-19,"1,296.72","1,299.45","1,299.45","1,289.67",-,-0.14%
12-Nov-19,"1,298.48","1,294.02","1,301.30","1,294.02",-,0.35%
11-Nov-19,"1,293.97","1,294.20","1,294.79","1,287.05",-,-0.06%
8-Nov-19,"1,294.70","1,297.06","1,297.10","1,291.97",-,-0.25%
7-Nov-19,"1,297.89","1,293.67","1,298.92","1,293.67",-,0.25%
6-Nov-19,"1,294.69","1,289.82","1,295.03","1,287.03",-,0.36%
5-Nov-19,"1,290.07","1,287.96","1,291.40","1,286.03",-,0.17%
